mu,s_sigma,d_sigma,main1,main2,main,one_agent,direct
-1,0.25,2,1,0.84,0.62,0.40,0.40
0,0.25,2,0.87,0.85,0.63,0.39,0.38
0.75,0.25,2,0.73,0.7,0.625,0.44,0.45
1.5,0.25,2,1,0.58,0.595,0.46,0.41
2.5,0.25,2,1,0.63,0.605,0.46,0.425
0.5,0.25,5,0.98,0.75,0.805,0.865,0.875
1.5,0.25,5,1,0.76,0.78,0.96,0.81
2,0.25,5,0.98,0.77,0.8,0.876,0.847
3,0.25,5,0.7,0.9,0.885,0.235,0.638
5,0.25,5,1,0.8,0.784,0.71,0.64
0.5,0.25,10,0.94,0.87,0.9285,0.929,0.921
1.5,0.25,10,0.99,0.86,0.9295,0.9297,0.9185
2.5,0.25,10,0.96,0.94,0.9265,0.913,0.9055
4,0.25,10,0.95,0.945,0.87,0.876,0.855
6,0.25,10,0.93,0.94,0.8685,0.87,0.855
0.75,0.05,2,0.72,0.8,0.61,0.43,0.44
0.75,0.1,2,1,0.8,0.61,0.44,0.425
0.75,0.25,2,1,0.64,0.635,0.45,0.42
0.75,0.8,2,1,0.62,0.635,0.37,0.363
2,0.02,5,1,0.9,0.8,0.835,0.76
2,0.5,5,0.94,0.98,0.81,0.815,0.735
2,0.1,5,0.99,0.8,0.8,0.885,0.67
2,0.25,5,0.93,0.95,0.82,0.745,0.83
2.5,0.01,10,0.94,0.96,0.928,0.9263,0.9050
2.5,0.02,10,0.82,0.915,0.93,0.93,0.905
2.5,0.05,10,0.93,0.92,0.928,0.919,0.887
2.5,0.25,10,0.92,0.9,0.906,0.9295,0.92
0.75,0.25,0.05,0.82,0.59,0.561,0.3,0.31
0.75,0.25,0.1,0.89,0.72,0.574,0.305,0.335
0.75,0.25,0.25,1,0.7,0.59,0.33,0.34
0.75,0.25,2,1,0.79,0.615,0.43,0.44
2,0.25,0.05,0.88,0.86,0.719,0.666,0.626
2,0.25,0.1,1,0.9,0.73,0.569,0.564
2,0.25,0.25,1,0.87,0.768,0.846,0.71
2,0.25,5,0.91,0.86,0.8,0.795,0.645
2.5,0.25,0.02,0.96,0.935,0.9136,0.927,0.8675
2.5,0.25,0.05,0.94,0.955,0.9118,0.922,0.872
2.5,0.25,0.1,0.9,0.94,0.875,0.927,0.864
2.5,0.25,10,0.95,0.92,0.93,0.93,0.921